aou98,State,NUMCOLEC,SpeimenInColection,TissueAvailability,lon,lat
Melanerpes aurifrons,VERACRUZ,CHIS 575,VERDADERO,FALSO,-96.50777778,19.73861111
Melanerpes aurifrons,YUCATAN,YUC13 068,VERDADERO,VERDADERO,-88.07627,21.56292
Melanerpes aurifrons,YUCATAN,YUC 150,VERDADERO,VERDADERO,-89.81611111,21.18666667
Melanerpes aurifrons,YUCATAN,YUC13 024,VERDADERO,VERDADERO,-87.66008,21.4646
Melanerpes aurifrons,YUCATAN,Y408 253,VERDADERO,VERDADERO,-88.02983333,21.5095
Melanerpes aurifrons,YUCATAN,YUC13 264,VERDADERO,VERDADERO,-90.02755556,20.88113888
Melanerpes aurifrons,YUCATAN,YUC13 150,VERDADERO,VERDADERO,-89.39718,20.74431
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 416,VERDADERO,VERDADERO,-99.425,22.12166667
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 060,VERDADERO,VERDADERO,-99.46305556,21.47166667
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 068,VERDADERO,VERDADERO,-99.46305556,21.47166667
Melanerpes aurifrons,QUERETARO,QRO 327,VERDADERO,VERDADERO,-99.06583333,21.27333333
Melanerpes aurifrons,YUCATAN,GES 196,VERDADERO,VERDADERO,-88.56666667,21.46666667
Melanerpes aurifrons,QUERETARO,QRO 081,VERDADERO,VERDADERO,-99.10944444,21.16388889
Melanerpes aurifrons,TABASCO,MZFC04 031,VERDADERO,VERDADERO,-93.88333333,17.87083333
Melanerpes aurifrons,CAMPECHE,Y408 001,VERDADERO,VERDADERO,-90.5773,19.72788333
Melanerpes aurifrons,CAMPECHE,Y408 034,VERDADERO,VERDADERO,-90.5773,19.72788333
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1171,VERDADERO,VERDADERO,-98.169278,23.808093
Melanerpes aurifrons,VERACRUZ,SLA 005,VERDADERO,VERDADERO,-95.67345,18.612115
Melanerpes aurifrons,VERACRUZ,SLA 006,VERDADERO,VERDADERO,-95.67345,18.612115
Melanerpes aurifrons,CAMPECHE,CONACYT99 036,VERDADERO,VERDADERO,-90.4,19.93333333
Melanerpes aurifrons,OAXACA,CHIMA 506,VERDADERO,VERDADERO,-94.68944444,17.00666667
Melanerpes aurifrons,TABASCO,MZFC04 016,VERDADERO,VERDADERO,-93.88333333,17.87083333
Melanerpes aurifrons,TABASCO,MZFC04 030,VERDADERO,VERDADERO,-93.88333333,17.87083333
Melanerpes aurifrons,TAMAULIPAS,AMT 184,VERDADERO,VERDADERO,-97.92466,22.3843
Melanerpes aurifrons,CHIAPAS,SOSI 130,VERDADERO,VERDADERO,-92.23057,14.67249
Melanerpes aurifrons,CHIAPAS,AMT 267,VERDADERO,VERDADERO,-93.19508056,15.70417778
Melanerpes aurifrons,CHIAPAS,AMT 262,VERDADERO,VERDADERO,-93.01686111,15.56094444
Melanerpes aurifrons,CHIAPAS,CHIS 245,VERDADERO,VERDADERO,-92.33722222,14.92305556
Melanerpes aurifrons,OAXACA,NIZA 044,VERDADERO,VERDADERO,-95.115,16.7452777
Melanerpes aurifrons,OAXACA,NIZA 129,VERDADERO,VERDADERO,-95.02317,16.677953
Melanerpes aurifrons,CHIAPAS,CHIS 125,VERDADERO,VERDADERO,-93.72381,15.995455
Melanerpes aurifrons,OAXACA,NIZA 147,VERDADERO,VERDADERO,-95.02317,16.677953
Melanerpes aurifrons,CHIAPAS,CHIS 140,VERDADERO,VERDADERO,-93.72381,15.995455
Melanerpes aurifrons,OAXACA,CONACYT 1492,VERDADERO,VERDADERO,-94.990109,16.632563
Melanerpes aurifrons,OAXACA,CONACYT 1470,VERDADERO,VERDADERO,-95.0116222,16.6706194
Melanerpes aurifrons,OAXACA,CONACYT 1303,VERDADERO,VERDADERO,-95.16277777,16.6938888
Melanerpes aurifrons,OAXACA,MT 348,VERDADERO,FALSO,-96.31666667,17.75666667
Melanerpes aurifrons,CAMPECHE,DEUT 19,VERDADERO,FALSO,-90.4,19.93333333
Melanerpes aurifrons,OAXACA,CONACYT04 071,VERDADERO,VERDADERO,-95.82963822,16.44958
Melanerpes aurifrons,COAHUILA,COA 66,VERDADERO,VERDADERO,-101.10721,25.895026
Melanerpes aurifrons,YUCATAN,YUC13 127,VERDADERO,VERDADERO,-89.39718,20.74431
Melanerpes aurifrons,QUERETARO,TQ 05,VERDADERO,VERDADERO,-99.58833333,20.74
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 433,VERDADERO,VERDADERO,-99.41833333,22.1225
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1133,VERDADERO,VERDADERO,-98.4,23.66027778
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1251,VERDADERO,VERDADERO,-99.35,24.61666667
Melanerpes aurifrons,VERACRUZ,AMT 200,VERDADERO,VERDADERO,-97.03018,20.475333
Melanerpes aurifrons,YUCATAN,Y408 255,VERDADERO,VERDADERO,-88.02983333,21.5095
Melanerpes aurifrons,VERACRUZ,INECOL 102,VERDADERO,VERDADERO,-96.94351111,19.51393056
Melanerpes aurifrons,TAMAULIPAS,AMT 191,VERDADERO,VERDADERO,-97.9006,22.516433
Melanerpes aurifrons,VERACRUZ,AMT 209,VERDADERO,VERDADERO,-97.03018,20.475333
